Character Name,Season Appearances
"Walder",5
"Margaery Tyrell",5
"Tywin Lannister",4
"Balon Greyjoy",3
"Unella",2
"High Septon",2
"Addam Marbrand",1
"Mordane",1
"Aegon Blackfyre",0
"Aemon Blackfyre",0
"Aemma Arryn",0
"Aelinor Penrose",0
"Aegor Rivers",0
"Aegon V",0
"Aegon Targaryen",0
"Aegon Targaryen",0
"Aegon Targaryen",0
"Aegon Targaryen",0
"Aegon IV",0
"Aegon III",0
"Aegon II",0
"Aegon I",0
"Aegon Frey",0
"Aegon Frey",0
"Moelle",0
"Addison Hill",0
"Addam Velaryon",0
"Addam Osgrey",0
"Chayle",0
"Addam Frey",0
"Abelar Hightower",0
"Gillam",0
"Melicent",0
"Torbert",0
"Scolera",0
"Raynard",0
"Osmynd",0
"Ollidor",0
"Nysterica",0
"Meribald",0
